Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
2016,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Other Race/ Ethnicity,19,,
2016,Malignant Neoplasms (Cancer: C00-C97),Male,Other Race/ Ethnicity,11,,
2016,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Other Race/ Ethnicity,,,
2016,Alzheimer's Disease (G30),Male,Other Race/ Ethnicity,,,
2016,Influenza (Flu) and Pneumonia (J09-J18),Male,Other Race/ Ethnicity,,,
2016,Mental and Behavioral Disorders due to Use of Alcohol (F10),Male,Other Race/ Ethnicity,,,
2016,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Other Race/ Ethnicity,,,
2016,"Chronic Liver Disease and Cirrhosis (K70, K73-K74)",Male,Other Race/ Ethnicity,,,
2016,Peptic Ulcer (K25-K28),Male,Other Race/ Ethnicity,,,
2016,Certain Conditions originating in the Perinatal Period (P00-P96),Male,Other Race/ Ethnicity,,,
2016,Chronic Lower Respiratory Diseases (J40-J47),Male,Other Race/ Ethnicity,,,
2016,Diabetes Mellitus (E10-E14),Male,Other Race/ Ethnicity,,,
2016,"Assault (Homicide: U01-U02, Y87.1, X85-Y09)",Male,Other Race/ Ethnicity,,,
2016,Cerebrovascular Disease (Stroke: I60-I69),Male,Other Race/ Ethnicity,,,
2016,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Other Race/ Ethnicity,,,
2016,All Other Causes,Male,Other Race/ Ethnicity,10,,
2016,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Not Stated/Unknown,179,,
2016,Malignant Neoplasms (Cancer: C00-C97),Male,Not Stated/Unknown,119,,
2016,Diabetes Mellitus (E10-E14),Male,Not Stated/Unknown,23,,
2016,Influenza (Flu) and Pneumonia (J09-J18),Male,Not Stated/Unknown,22,,
2016,Human Immunodeficiency Virus Disease (HIV: B20-B24),Male,Not Stated/Unknown,20,,
2016,Cerebrovascular Disease (Stroke: I60-I69),Male,Not Stated/Unknown,18,,
2016,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Not Stated/Unknown,18,,
2016,Chronic Lower Respiratory Diseases (J40-J47),Male,Not Stated/Unknown,17,,
2016,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Not Stated/Unknown,16,,
2016,"Chronic Liver Disease and Cirrhosis (K70, K73-K74)",Male,Not Stated/Unknown,14,,
2016,All Other Causes,Male,Not Stated/Unknown,158,,
2016,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Hispanic,1485,115.9,120.3
2016,Malignant Neoplasms (Cancer: C00-C97),Female,Hispanic,1162,90.7,93.1
2016,Diabetes Mellitus (E10-E14),Female,Hispanic,231,18,18.6
2016,Cerebrovascular Disease (Stroke: I60-I69),Female,Hispanic,204,15.9,16.4
2016,Alzheimer's Disease (G30),Female,Hispanic,203,15.8,16.5
2016,Influenza (Flu) and Pneumonia (J09-J18),Female,Hispanic,195,15.2,15.8
2016,Chronic Lower Respiratory Diseases (J40-J47),Female,Hispanic,168,13.1,13.6
2016,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Hispanic,131,10.2,10.5
2016,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Hispanic,90,7,6.9
2016,"Chronic Liver Disease and Cirrhosis (K70, K73-K74)",Female,Hispanic,59,4.6,4.7
2016,All Other Causes,Female,Hispanic,1147,89.5,91.9
2016,Malignant Neoplasms (Cancer: C00-C97),Female,Asian and Pacific Islander,565,86.4,83.1
2016,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Asian and Pacific Islander,530,81.1,82.6
2016,Cerebrovascular Disease (Stroke: I60-I69),Female,Asian and Pacific Islander,118,18.1,18.3
2016,Influenza (Flu) and Pneumonia (J09-J18),Female,Asian and Pacific Islander,92,14.1,14.5
2016,Diabetes Mellitus (E10-E14),Female,Asian and Pacific Islander,73,11.2,11.2
2016,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Asian and Pacific Islander,58,8.9,9.2
2016,Alzheimer's Disease (G30),Female,Asian and Pacific Islander,49,7.5,7.7
2016,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Asian and Pacific Islander,43,6.6,6.5
2016,Chronic Lower Respiratory Diseases (J40-J47),Female,Asian and Pacific Islander,39,6,6.1
2016,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)",Female,Asian and Pacific Islander,29,4.4,4.1
2016,All Other Causes,Female,Asian and Pacific Islander,385,58.9,60.9
2016,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Non-Hispanic White,4306,307.3,156.3
2016,Malignant Neoplasms (Cancer: C00-C97),Female,Non-Hispanic White,3102,221.4,149
2016,Chronic Lower Respiratory Diseases (J40-J47),Female,Non-Hispanic White,471,33.6,19.5
2016,Influenza (Flu) and Pneumonia (J09-J18),Female,Non-Hispanic White,450,32.1,17.1
2016,Cerebrovascular Disease (Stroke: I60-I69),Female,Non-Hispanic White,404,28.8,15.2
2016,Alzheimer's Disease (G30),Female,Non-Hispanic White,361,25.8,11.8
2016,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Non-Hispanic White,219,15.6,8.2
2016,Diabetes Mellitus (E10-E14),Female,Non-Hispanic White,183,13.1,8
2016,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Non-Hispanic White,156,11.1,7.2
2016,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Non-Hispanic White,138,9.8,9.4
2016,All Other Causes,Female,Non-Hispanic White,2416,172.4,102.4
2016,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Non-Hispanic Black,2303,221.5,171.1
2016,Malignant Neoplasms (Cancer: C00-C97),Female,Non-Hispanic Black,1864,179.3,145
2016,Diabetes Mellitus (E10-E14),Female,Non-Hispanic Black,399,38.4,30.8
2016,Cerebrovascular Disease (Stroke: I60-I69),Female,Non-Hispanic Black,276,26.5,20.7
2016,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Non-Hispanic Black,226,21.7,16.7
2016,Chronic Lower Respiratory Diseases (J40-J47),Female,Non-Hispanic Black,218,21,16.8
2016,Influenza (Flu) and Pneumonia (J09-J18),Female,Non-Hispanic Black,212,20.4,16.1
2016,Alzheimer's Disease (G30),Female,Non-Hispanic Black,158,15.2,11.1
2016,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Non-Hispanic Black,101,9.7,8.6
2016,Human Immunodeficiency Virus Disease (HIV: B20-B24),Female,Non-Hispanic Black,91,8.8,7.8
2016,All Other Causes,Female,Non-Hispanic Black,1585,152.5,127.8
2016,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Other Race/ Ethnicity,30,,
2016,Malignant Neoplasms (Cancer: C00-C97),Female,Other Race/ Ethnicity,8,,
2016,Influenza (Flu) and Pneumonia (J09-J18),Female,Other Race/ Ethnicity,,,
2016,Diabetes Mellitus (E10-E14),Female,Other Race/ Ethnicity,,,
2016,Alzheimer's Disease (G30),Female,Other Race/ Ethnicity,,,
2016,Certain Conditions originating in the Perinatal Period (P00-P96),Female,Other Race/ Ethnicity,,,
2016,Chronic Lower Respiratory Diseases (J40-J47),Female,Other Race/ Ethnicity,,,
2016,Mental and Behavioral Disorders due to Use of Alcohol (F10),Female,Other Race/ Ethnicity,,,
2016,Cerebrovascular Disease (Stroke: I60-I69),Female,Other Race/ Ethnicity,,,
2016,"Assault (Homicide: U01-U02, Y87.1, X85-Y09)",Female,Other Race/ Ethnicity,,,
2016,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Other Race/ Ethnicity,,,
2016,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)",Female,Other Race/ Ethnicity,,,
2016,Human Immunodeficiency Virus Disease (HIV: B20-B24),Female,Other Race/ Ethnicity,,,
2016,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Other Race/ Ethnicity,,,
2016,Septicemia (A40-A41),Female,Other Race/ Ethnicity,,,
2016,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",Female,Other Race/ Ethnicity,,,
2016,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",Female,Other Race/ Ethnicity,,,
2016,All Other Causes,Female,Other Race/ Ethnicity,13,,
2016,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Not Stated/Unknown,126,,
2016,Malignant Neoplasms (Cancer: C00-C97),Female,Not Stated/Unknown,81,,
2016,Diabetes Mellitus (E10-E14),Female,Not Stated/Unknown,24,,
2016,Influenza (Flu) and Pneumonia (J09-J18),Female,Not Stated/Unknown,18,,
2016,Cerebrovascular Disease (Stroke: I60-I69),Female,Not Stated/Unknown,18,,
2016,Chronic Lower Respiratory Diseases (J40-J47),Female,Not Stated/Unknown,16,,
2016,Certain Conditions originating in the Perinatal Period (P00-P96),Female,Not Stated/Unknown,15,,
2016,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Not Stated/Unknown,13,,
2016,Alzheimer's Disease (G30),Female,Not Stated/Unknown,9,,
2016,Viral Hepatitis (B15-B19),Female,Not Stated/Unknown,7,,
2016,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",Female,Not Stated/Unknown,7,,
2016,All Other Causes,Female,Not Stated/Unknown,105,,
2015,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Hispanic,1410,116.8,182
2015,Malignant Neoplasms (Cancer: C00-C97),Male,Hispanic,1175,97.3,140.9
2015,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Hispanic,261,21.6,21.7
2015,Diabetes Mellitus (E10-E14),Male,Hispanic,225,18.6,26.2
2015,Influenza (Flu) and Pneumonia (J09-J18),Male,Hispanic,196,16.2,26.1
2015,Cerebrovascular Disease (Stroke: I60-I69),Male,Hispanic,178,14.7,22.2
2015,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Hispanic,178,14.7,17.2
2015,"Chronic Liver Disease and Cirrhosis (K70, K73)",Male,Hispanic,166,13.8,17.1
2015,Chronic Lower Respiratory Diseases (J40-J47),Male,Hispanic,153,12.7,20
2015,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Hispanic,105,8.7,13.4
2015,All Other Causes,Male,Hispanic,1196,99.1,135.8
2015,Malignant Neoplasms (Cancer: C00-C97),Male,Asian and Pacific Islander,668,113,123.1
2015,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Asian and Pacific Islander,610,103.2,122.8
2015,Influenza (Flu) and Pneumonia (J09-J18),Male,Asian and Pacific Islander,108,18.3,23.2
2015,Cerebrovascular Disease (Stroke: I60-I69),Male,Asian and Pacific Islander,90,15.2,17.2
2015,Diabetes Mellitus (E10-E14),Male,Asian and Pacific Islander,85,14.4,16.4
2015,Chronic Lower Respiratory Diseases (J40-J47),Male,Asian and Pacific Islander,76,12.9,16.3
2015,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Asian and Pacific Islander,64,10.8,12.3
2015,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Asian and Pacific Islander,50,8.5,10.3
2015,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",Male,Asian and Pacific Islander,39,6.6,6.5
2015,Parkinson's Disease (G20),Male,Asian and Pacific Islander,30,5.1,6.6
2015,All Other Causes,Male,Asian and Pacific Islander,454,76.8,90.9
2015,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Non-Hispanic White,4015,298.5,239.2
2015,Malignant Neoplasms (Cancer: C00-C97),Male,Non-Hispanic White,3020,224.5,186.1
2015,Influenza (Flu) and Pneumonia (J09-J18),Male,Non-Hispanic White,449,33.4,26.6
2015,Chronic Lower Respiratory Diseases (J40-J47),Male,Non-Hispanic White,364,27.1,21.8
2015,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Non-Hispanic White,342,25.4,23.6
2015,Cerebrovascular Disease (Stroke: I60-I69),Male,Non-Hispanic White,316,23.5,18.8
2015,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Non-Hispanic White,287,21.3,18.3
2015,Diabetes Mellitus (E10-E14),Male,Non-Hispanic White,246,18.3,15
2015,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",Male,Non-Hispanic White,181,13.5,11.9
2015,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Non-Hispanic White,170,12.6,10
2015,Alzheimer's Disease (G30),Male,Non-Hispanic White,170,12.6,9.6
2015,All Other Causes,Male,Non-Hispanic White,2288,170.1,142.3
2015,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Non-Hispanic Black,2033,235.7,265.9
2015,Malignant Neoplasms (Cancer: C00-C97),Male,Non-Hispanic Black,1523,176.6,194.1
2015,Diabetes Mellitus (E10-E14),Male,Non-Hispanic Black,345,40,44.7
2015,Influenza (Flu) and Pneumonia (J09-J18),Male,Non-Hispanic Black,225,26.1,31.1
2015,Cerebrovascular Disease (Stroke: I60-I69),Male,Non-Hispanic Black,206,23.9,26.1
2015,"Assault (Homicide: Y87.1, X85-Y09)",Male,Non-Hispanic Black,196,22.7,23
2015,Human Immunodeficiency Virus Disease (HIV: B20-B24),Male,Non-Hispanic Black,185,21.4,20.7
2015,Chronic Lower Respiratory Diseases (J40-J47),Male,Non-Hispanic Black,177,20.5,23.2
2015,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Non-Hispanic Black,167,19.4,22.4
2015,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Non-Hispanic Black,155,18,16.6
2015,All Other Causes,Male,Non-Hispanic Black,1418,164.4,182.7
2015,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Other Race/ Ethnicity,26,,
2015,Malignant Neoplasms (Cancer: C00-C97),Male,Other Race/ Ethnicity,15,,
2015,Chronic Lower Respiratory Diseases (J40-J47),Male,Other Race/ Ethnicity,,,
2015,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Other Race/ Ethnicity,,,
2015,Diabetes Mellitus (E10-E14),Male,Other Race/ Ethnicity,,,
2015,"Assault (Homicide: Y87.1, X85-Y09)",Male,Other Race/ Ethnicity,,,
2015,Viral Hepatitis (B15-B19),Male,Other Race/ Ethnicity,,,
2015,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Other Race/ Ethnicity,,,
2015,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",Male,Other Race/ Ethnicity,,,
2015,Human Immunodeficiency Virus Disease (HIV: B20-B24),Male,Other Race/ Ethnicity,,,
2015,"Meningitis (G00, G03)",Male,Other Race/ Ethnicity,,,
2015,Influenza (Flu) and Pneumonia (J09-J18),Male,Other Race/ Ethnicity,,,
2015,Mental and Behavioral Disorders due to Use of Alcohol (F10),Male,Other Race/ Ethnicity,,,
2015,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",Male,Other Race/ Ethnicity,,,
2015,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Other Race/ Ethnicity,,,
2015,All Other Causes,Male,Other Race/ Ethnicity,7,,
2015,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Not Stated/Unknown,174,,
2015,Malignant Neoplasms (Cancer: C00-C97),Male,Not Stated/Unknown,94,,
2015,Diabetes Mellitus (E10-E14),Male,Not Stated/Unknown,25,,
2015,Chronic Lower Respiratory Diseases (J40-J47),Male,Not Stated/Unknown,21,,
2015,Influenza (Flu) and Pneumonia (J09-J18),Male,Not Stated/Unknown,19,,
2015,Cerebrovascular Disease (Stroke: I60-I69),Male,Not Stated/Unknown,18,,
2015,"Chronic Liver Disease and Cirrhosis (K70, K73)",Male,Not Stated/Unknown,17,,
2015,Human Immunodeficiency Virus Disease (HIV: B20-B24),Male,Not Stated/Unknown,16,,
2015,Certain Conditions originating in the Perinatal Period (P00-P96),Male,Not Stated/Unknown,16,,
2015,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Not Stated/Unknown,11,,
2015,All Other Causes,Male,Not Stated/Unknown,127,,
2015,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Hispanic,1361,106.5,113.4
2015,Malignant Neoplasms (Cancer: C00-C97),Female,Hispanic,1193,93.3,97.4
2015,Influenza (Flu) and Pneumonia (J09-J18),Female,Hispanic,208,16.3,17.3
2015,Cerebrovascular Disease (Stroke: I60-I69),Female,Hispanic,197,15.4,16.3
2015,Diabetes Mellitus (E10-E14),Female,Hispanic,196,15.3,16.3
2015,Chronic Lower Respiratory Diseases (J40-J47),Female,Hispanic,183,14.3,15.1
2015,Alzheimer's Disease (G30),Female,Hispanic,176,13.8,14.8
2015,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Hispanic,98,7.7,8.2
2015,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Hispanic,78,6.1,6
2015,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Hispanic,65,5.1,5.3
2015,All Other Causes,Female,Hispanic,1184,92.6,97
2015,Malignant Neoplasms (Cancer: C00-C97),Female,Asian and Pacific Islander,515,79.7,78.9
2015,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Asian and Pacific Islander,498,77.1,81.6
2015,Cerebrovascular Disease (Stroke: I60-I69),Female,Asian and Pacific Islander,95,14.7,15.3
2015,Influenza (Flu) and Pneumonia (J09-J18),Female,Asian and Pacific Islander,89,13.8,14.7
2015,Diabetes Mellitus (E10-E14),Female,Asian and Pacific Islander,71,11,11.5
2015,Alzheimer's Disease (G30),Female,Asian and Pacific Islander,50,7.7,8.4
2015,Chronic Lower Respiratory Diseases (J40-J47),Female,Asian and Pacific Islander,41,6.3,6.7
2015,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",Female,Asian and Pacific Islander,36,5.6,5.4
2015,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Asian and Pacific Islander,34,5.3,5.4
2015,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Asian and Pacific Islander,30,4.6,4.9
2015,All Other Causes,Female,Asian and Pacific Islander,345,53.4,56.3
2015,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Non-Hispanic White,4494,318,161.8
2015,Malignant Neoplasms (Cancer: C00-C97),Female,Non-Hispanic White,3130,221.5,149.9
2015,Influenza (Flu) and Pneumonia (J09-J18),Female,Non-Hispanic White,521,36.9,19.3
2015,Chronic Lower Respiratory Diseases (J40-J47),Female,Non-Hispanic White,503,35.6,20.7
2015,Cerebrovascular Disease (Stroke: I60-I69),Female,Non-Hispanic White,422,29.9,15.5
2015,Alzheimer's Disease (G30),Female,Non-Hispanic White,378,26.7,11.9
2015,Diabetes Mellitus (E10-E14),Female,Non-Hispanic White,239,16.9,10.4
2015,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Non-Hispanic White,226,16,8.6
2015,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Non-Hispanic White,191,13.5,8.9
2015,Septicemia (A40-A41),Female,Non-Hispanic White,127,9,5.2
2015,All Other Causes,Female,Non-Hispanic White,2489,176.1,108.6
2015,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Non-Hispanic Black,2344,224.2,177.7
2015,Malignant Neoplasms (Cancer: C00-C97),Female,Non-Hispanic Black,1872,179.1,148.1
2015,Diabetes Mellitus (E10-E14),Female,Non-Hispanic Black,392,37.5,30.5
2015,Cerebrovascular Disease (Stroke: I60-I69),Female,Non-Hispanic Black,307,29.4,23.6
2015,Influenza (Flu) and Pneumonia (J09-J18),Female,Non-Hispanic Black,261,25,19.7
2015,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Non-Hispanic Black,232,22.2,17.5
2015,Chronic Lower Respiratory Diseases (J40-J47),Female,Non-Hispanic Black,223,21.3,17.6
2015,Alzheimer's Disease (G30),Female,Non-Hispanic Black,147,14.1,10.7
2015,Human Immunodeficiency Virus Disease (HIV: B20-B24),Female,Non-Hispanic Black,92,8.8,7.8
2015,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",Female,Non-Hispanic Black,79,7.6,6.2
2015,All Other Causes,Female,Non-Hispanic Black,1599,153,129.5
2015,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Other Race/ Ethnicity,22,,
2015,Malignant Neoplasms (Cancer: C00-C97),Female,Other Race/ Ethnicity,12,,
2015,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Other Race/ Ethnicity,,,
2015,Cerebrovascular Disease (Stroke: I60-I69),Female,Other Race/ Ethnicity,,,
2015,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",Female,Other Race/ Ethnicity,,,
2015,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Other Race/ Ethnicity,,,
2015,Chronic Lower Respiratory Diseases (J40-J47),Female,Other Race/ Ethnicity,,,
2015,Influenza (Flu) and Pneumonia (J09-J18),Female,Other Race/ Ethnicity,,,
2015,Atherosclerosis (I70),Female,Other Race/ Ethnicity,,,
2015,Septicemia (A40-A41),Female,Other Race/ Ethnicity,,,
2015,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Other Race/ Ethnicity,,,
2015,Alzheimer's Disease (G30),Female,Other Race/ Ethnicity,,,
2015,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",Female,Other Race/ Ethnicity,,,
2015,All Other Causes,Female,Other Race/ Ethnicity,13,,
2015,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Not Stated/Unknown,137,,
2015,Malignant Neoplasms (Cancer: C00-C97),Female,Not Stated/Unknown,92,,
2015,Diabetes Mellitus (E10-E14),Female,Not Stated/Unknown,25,,
2015,Influenza (Flu) and Pneumonia (J09-J18),Female,Not Stated/Unknown,16,,
2015,Chronic Lower Respiratory Diseases (J40-J47),Female,Not Stated/Unknown,15,,
2015,Cerebrovascular Disease (Stroke: I60-I69),Female,Not Stated/Unknown,15,,
2015,Certain Conditions originating in the Perinatal Period (P00-P96),Female,Not Stated/Unknown,14,,
2015,Alzheimer's Disease (G30),Female,Not Stated/Unknown,14,,
2015,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Not Stated/Unknown,11,,
2015,"Chronic Liver Disease and Cirrhosis (K70, K73)",Female,Not Stated/Unknown,8,,
2015,All Other Causes,Female,Not Stated/Unknown,92,,
